date_time,b_code,usage,peak
201901070200,SGBD,268.02,1072.08
201901070215,SGBD,272.88,1091.52
201901070230,SGBD,268.74,1074.96
201901070245,SGBD,268.92,1075.68
201901070300,SGBD,270.36,1081.44
201901070315,SGBD,265.86,1063.44
201901070330,SGBD,267.12,1068.48
201901070345,SGBD,267.3,1069.2
201901070400,SGBD,266.94,1067.76
201901070415,SGBD,271.26,1085.04
201901070430,SGBD,269.1,1076.4
201901070445,SGBD,268.02,1072.08
201901070500,SGBD,269.64,1078.56
201901070515,SGBD,272.88,1091.52
201901070530,SGBD,273.06,1092.24
201901070545,SGBD,278.1,1112.4
201901070600,SGBD,287.64,1150.56
201901070615,SGBD,292.5,1170
201901070630,SGBD,302.22,1208.88
201901070645,SGBD,316.44,1265.76
201901070700,SGBD,325.26,1301.04
201901070715,SGBD,330.48,1321.92
201901070730,SGBD,340.2,1360.8
201901070745,SGBD,347.4,1389.6
201901070800,SGBD,350.1,1400.4
201901070815,SGBD,367.56,1470.24
201901070830,SGBD,374.76,1499.04
201901070845,SGBD,395.82,1583.28
201901070900,SGBD,394.02,1576.08
201901070915,SGBD,403.2,1612.8
201901070930,SGBD,402.3,1609.2
201901070945,SGBD,403.92,1615.68
201901071000,SGBD,404.1,1616.4
201901071015,SGBD,408.24,1632.96
201901071030,SGBD,409.14,1636.56
201901071045,SGBD,413.64,1654.56
201901071100,SGBD,413.28,1653.12
201901071115,SGBD,409.32,1637.28
201901071130,SGBD,409.86,1639.44
201901071145,SGBD,415.44,1661.76
201901071200,SGBD,395.64,1582.56
201901071215,SGBD,393.84,1575.36
201901071230,SGBD,396.18,1584.72
201901071245,SGBD,399.24,1596.96
201901071300,SGBD,408.06,1632.24
201901071315,SGBD,408.96,1635.84
201901071330,SGBD,407.7,1630.8
201901071345,SGBD,404.28,1617.12
201901071400,SGBD,406.44,1625.76
201901071415,SGBD,404.1,1616.4
201901071430,SGBD,403.2,1612.8
201901071445,SGBD,402.3,1609.2
201901071500,SGBD,398.88,1595.52
201901071515,SGBD,400.5,1602
201901071530,SGBD,397.26,1589.04
201901071545,SGBD,391.86,1567.44
201901071600,SGBD,393.66,1574.64
201901071615,SGBD,393.84,1575.36
201901071630,SGBD,394.38,1577.52
201901071645,SGBD,390.78,1563.12
201901071700,SGBD,389.16,1556.64
201901071715,SGBD,387.72,1550.88
201901071730,SGBD,390.96,1563.84
201901071745,SGBD,389.34,1557.36
201901071800,SGBD,383.04,1532.16
201901071815,SGBD,382.86,1531.44
201901071830,SGBD,370.08,1480.32
201901071845,SGBD,360.72,1442.88
201901071900,SGBD,359.82,1439.28
201901071915,SGBD,354.96,1419.84
201901071930,SGBD,345.06,1380.24
201901071945,SGBD,346.86,1387.44
201901072000,SGBD,344.34,1377.36
201901072015,SGBD,340.74,1362.96
201901072030,SGBD,333.54,1334.16
201901072045,SGBD,330.84,1323.36
201901072100,SGBD,313.56,1254.24
201901072115,SGBD,311.04,1244.16
201901072130,SGBD,310.5,1242
201901072145,SGBD,303.84,1215.36
201901072200,SGBD,305.64,1222.56
201901072215,SGBD,304.56,1218.24
201901072230,SGBD,299.16,1196.64
201901072245,SGBD,296.28,1185.12
201901072300,SGBD,291.24,1164.96
201901072315,SGBD,295.2,1180.8
201901072330,SGBD,298.44,1193.76
201901072345,SGBD,297.54,1190.16
201901080000,SGBD,296.1,1184.4
201901080015,SGBD,294.66,1178.64
201901080030,SGBD,291.42,1165.68
201901080045,SGBD,292.86,1171.44
201901080100,SGBD,290.16,1160.64
201901080115,SGBD,286.02,1144.08
201901080130,SGBD,284.4,1137.6
201901080145,SGBD,284.76,1139.04
201901080200,SGBD,287.28,1149.12
201901080215,SGBD,286.74,1146.96
201901080230,SGBD,285.3,1141.2
201901080245,SGBD,282.42,1129.68
201901080300,SGBD,283.5,1134
201901080315,SGBD,285.3,1141.2
201901080330,SGBD,284.94,1139.76
201901080345,SGBD,284.58,1138.32
201901080400,SGBD,282.78,1131.12
201901080415,SGBD,286.02,1144.08
201901080430,SGBD,285.12,1140.48
201901080445,SGBD,286.56,1146.24
201901080500,SGBD,283.5,1134
201901080515,SGBD,286.56,1146.24
201901080530,SGBD,287.28,1149.12
201901080545,SGBD,289.08,1156.32
201901080600,SGBD,298.98,1195.92
201901080615,SGBD,300.42,1201.68
201901080630,SGBD,311.76,1247.04
201901080645,SGBD,318.78,1275.12
201901080700,SGBD,328.14,1312.56
201901080715,SGBD,334.08,1336.32
201901080730,SGBD,352.98,1411.92
201901080745,SGBD,367.02,1468.08
201901080800,SGBD,372.6,1490.4
201901080815,SGBD,379.8,1519.2
201901080830,SGBD,385.2,1540.8
201901080845,SGBD,391.86,1567.44
201901080900,SGBD,402.84,1611.36
201901080915,SGBD,411.84,1647.36
201901080930,SGBD,415.08,1660.32
201901080945,SGBD,413.28,1653.12
201901081000,SGBD,419.76,1679.04
201901081015,SGBD,423.18,1692.72
201901081030,SGBD,424.8,1699.2
201901081045,SGBD,429.66,1718.64
201901081100,SGBD,427.5,1710
201901081115,SGBD,430.02,1720.08
